sec,stnew,strm,grp,sstrm,bstrm,Bstrm_name
1,1,1,2,1,D001,Kupwara
1,2,1,1,1,D001,Chamba
1,3,1,2,1,D001,Gurdaspur
1,3,1,2,2,D001,Gurdaspur
1,6,1,2,1,D001,Panchkula
1,8,1,1,1,D001,Sri Ganganagar
1,9,1,2,1,D001,Saharanpur
1,9,1,2,2,D001,Saharanpur
1,10,1,2,1,D001,Pashchim Champaran
1,10,1,2,2,D001,Pashchim Champaran
1,10,1,2,3,D001,Pashchim Champaran
1,16,1,2,1,D001,West Tripura
1,16,1,2,2,D001,West Tripura
1,18,1,2,1,D001,Kokrajhar
1,18,1,2,2,D001,Kokrajhar
1,19,1,2,1,D001,Darjeeling
1,20,1,2,1,D001,Garhwa
1,20,1,2,2,D001,Garhwa
1,21,1,2,1,D001,Bargarh
1,21,1,2,2,D001,Bargarh
1,24,1,2,1,D001,Kachchh
1,24,1,2,2,D001,Kachchh
1,28,1,2,1,D001,Srikakulam
1,28,1,2,2,D001,Srikakulam
1,28,1,2,3,D001,Srikakulam
1,29,1,2,1,D001,Belagavi
1,29,1,2,2,D001,Belagavi
1,29,1,2,3,D001,Belagavi
1,30,1,2,1,D001,North Goa
1,32,1,2,1,D001,Kasaragod
1,33,1,2,1,D001,Thiruvallur
1,33,1,2,2,D001,Thiruvallur
1,36,1,2,1,D001,Adilabad
2,1,1,9,1,D001,Kupwara
2,2,1,9,1,D001,Chamba
2,3,1,9,1,D001,Gurdaspur
2,3,1,9,2,D001,Gurdaspur
2,6,1,9,1,D001,Panchkula
2,6,1,9,2,D001,Panchkula
2,7,1,9,1,D001,North West Delhi
2,7,1,9,2,D001,North West Delhi
2,8,1,9,1,D001,Sri Ganganagar
2,9,1,9,1,D001,Saharanpur
2,9,1,9,2,D001,Saharanpur
2,10,1,9,1,D001,Pashchim Champaran
2,16,1,9,1,D001,West Tripura
2,16,1,9,2,D001,West Tripura
2,18,1,9,1,D001,Kokrajhar
2,19,1,9,1,D001,Darjeeling
2,19,1,9,2,D001,Darjeeling
2,20,1,9,1,D001,Garhwa
2,21,1,9,1,D001,Bargarh
2,24,1,9,1,D001,Kachchh
2,24,1,9,2,D001,Kachchh
2,28,1,9,1,D001,Srikakulam
2,29,1,9,1,D001,Belagavi
2,29,1,9,2,D001,Belagavi
2,30,1,9,1,D001,North Goa
2,32,1,9,1,D001,Kasaragod
2,33,1,9,1,D001,Thiruvallur
2,33,1,9,2,D001,Thiruvallur
2,33,1,9,3,D001,Thiruvallur
2,36,1,9,1,D001,Adilabad
2,7,201,9,1,D001,North West Delhi
2,7,201,9,2,D001,North West Delhi
1,9,501,2,1,D001,Saharanpur
1,5,1,1,1,D002,Chamoli
1,22,1,2,1,D002,Surguja
