State Code,State Name,District Code,District Name
1,Jammu and Kashmir,1,Kupwara
1,Jammu and Kashmir,2,Budgam
1,Jammu and Kashmir,5,Poonch
1,Jammu and Kashmir,6,Rajouri
1,Jammu and Kashmir,7,Kathua
1,Jammu and Kashmir,8,Baramulla
1,Jammu and Kashmir,9,Bandipore
1,Jammu and Kashmir,10,Srinagar
1,Jammu and Kashmir,11,Ganderbal
1,Jammu and Kashmir,12,Pulwama
1,Jammu and Kashmir,13,Shopian
1,Jammu and Kashmir,14,Anantnag
1,Jammu and Kashmir,15,Kulgam
1,Jammu and Kashmir,16,Doda
1,Jammu and Kashmir,17,Ramban
1,Jammu and Kashmir,18,Kishtwar
1,Jammu and Kashmir,19,Udhampur
1,Jammu and Kashmir,20,Reasi
1,Jammu and Kashmir,21,Jammu
1,Jammu and Kashmir,22,Samba
2,Himachal Pradesh,1,Chamba
2,Himachal Pradesh,2,Kangra
2,Himachal Pradesh,3,Lahaul and Spiti
2,Himachal Pradesh,4,Kullu
2,Himachal Pradesh,5,Mandi
2,Himachal Pradesh,6,Hamirpur
2,Himachal Pradesh,7,Una
2,Himachal Pradesh,8,Bilaspur
2,Himachal Pradesh,9,Solan
2,Himachal Pradesh,10,Sirmaur
2,Himachal Pradesh,11,Shimla
2,Himachal Pradesh,12,Kinnaur
3,Punjab,1,Gurdaspur
3,Punjab,2,Kapurthala
3,Punjab,3,Jalandhar
3,Punjab,4,Hoshiarpur
3,Punjab,5,Shahid Bhagat Singh Nagar
3,Punjab,6,Fatehgarh Sahib
3,Punjab,7,Ludhiana
3,Punjab,8,Moga
3,Punjab,9,Ferozepur
3,Punjab,10,Sri Muktsar Sahib
3,Punjab,11,Faridkot
3,Punjab,12,Bathinda
3,Punjab,13,Mansa
3,Punjab,14,Patiala
3,Punjab,15,Amritsar
3,Punjab,16,Tarn Taran
3,Punjab,17,Rupnagar
3,Punjab,18,Sahibzada Ajit Singh Nagar
3,Punjab,19,Sangrur
3,Punjab,20,Barnala
3,Punjab,21,Pathankot
3,Punjab,22,Fazilka
4,Chandigarh,1,Chandigarh
5,Uttarakhand,1,Uttarkashi
5,Uttarakhand,2,Chamoli
5,Uttarakhand,3,Rudraprayag
5,Uttarakhand,4,Tehri Garhwal
5,Uttarakhand,5,Dehradun
5,Uttarakhand,6,Pauri Garhwal
5,Uttarakhand,7,Pithoragarh
5,Uttarakhand,8,Bageshwar
5,Uttarakhand,9,Almora
5,Uttarakhand,10,Champawat
