Srl,Full Name,Block,Item /Col.,Field Length,Byte Position,Unnamed: 6,Remarks
1,Panel,,,2,1,2.0,P4
2,File Identification,,,5,3,7.0,CFVH4
3,Schdule,1,2,3,8,10.0,104
4,Quarter,,,2,11,12.0,"Q3,Q4,Q5,Q6"
5,Visit,,,2,13,14.0,
6,Sector,1,3,1,15,15.0,
7,State/Ut Code,0,1,2,16,17.0,
8,District Code,1,4,2,18,19.0,
9,NSS-Region,1,4,3,20,22.0,
10,Stratum,1,5,2,23,24.0,
11,Sub-Stratum,1,6,2,25,26.0,
12,Sub-Sample,1,11,1,27,27.0,
13,Fod Sub-Region,1,12,4,28,31.0,
14,FSU,1,1,5,32,36.0,
15,Sample Sg/Sb No.,1,13,1,37,37.0,
16,Second Stage Stratum No.,1,14,1,38,38.0,
17,Sample Household Number,1,15,2,39,40.0,
18,Month of Survey,1,9,2,41,42.0,
19,Response Code,1,17,1,43,43.0,
20,Survey Code,1,18,1,44,44.0,
21,Reason for Substitution of original household,1,19,1,45,45.0,
22,Household Size,3,1,2,46,47.0,
23,Household Type,3,2,1,48,48.0,
24,Religion,3,3,1,49,49.0,
25,Social Group,3,4,1,50,50.0,
26,Household's usual consumer Expenditure in A Month for purposes out of Goods and Services(Rs.),3,5.1,8,51,58.0,
27,Imputed value of usual consumption in a month out of Home Grown stock (Rs.),3,5.2,8,59,66.0,
28,"Imputed value of usual consumption in a Month from wages in kind,free collection, gifts etc. (Rs.)",3,5.3,8,67,74.0,
29,"Household's Annual Expenditure on purchase of items like clothing, footwear etc.(Rs.)",3,5.4,8,75,82.0,
30,"Household's Annual Expenditure on purchase of durables like Bedstead, TV, fridge etc.(Rs.)",3,5.5,8,83,90.0,
31,Household'S Usual Consumer Expenditure In A Month (Rs.),3,5.6,8,91,98.0,
32,Informant Serial no.,1,16,2,99,100.0,
33,Survey Date,2,2(i),8,101,108.0,
34,Total Time Taken To Canvass Sch. 10.4,2,4,4,109,112.0,
35,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,113,115.0,NSS
36,Ns count for sector x stratum x substratum,Generated,,3,116,118.0,NSC
37,Sub-sample wise Multiplier,Generated,,10,119,128.0,MULT
38,count of contributing samples for State x Sector x Stratum x Sub-Stratum in 4 Quarters,Generated,,1,129,129.0,No_Qtr
,,,,,,,
,,,,,,,
,,,,,,,
PLFS PERSON LEVEL DATA OF CALENDAR YEAR  2024,,,,,,,
 File: CPERV1.txt (PERSON LEVEL-FIRST VISIT)         RECORD LENGTH:333+1,,,,,,,
Srl,Full Name,Block,Item /Col.,Field Length,Byte Position,,Remarks
1,Panel,,,2,1,2.0,P4
2,File Identification,,,5,3,7.0,CFVP4
3,Schdule,1,2,3,8,10.0,104
4,Quarter,,,2,11,12.0,"Q3,Q4,Q5,Q6"
5,Visit,,,2,13,14.0,
6,Sector,1,3,1,15,15.0,
7,State/Ut Code,,,2,16,17.0,
8,District Code,1,4,2,18,19.0,
9,NSS-Region,1,4,3,20,22.0,
10,Stratum,1,5,2,23,24.0,
11,Sub-Stratum,1,6,2,25,26.0,
12,Sub-Sample,1,11,1,27,27.0,
13,Fod Sub-Region,1,12,4,28,31.0,
14,FSU,1,1,5,32,36.0,
15,Sample Sg/Sb No.,1,13,1,37,37.0,
16,Second Stage Stratum No.,1,14,1,38,38.0,
17,Sample Household Number,1,15,2,39,40.0,
18,Person Serial No.,4,1,2,41,42.0,
19,Relationship To Head,4,4,1,43,43.0,
20,Sex,4,5,1,44,44.0,
21,Age,4,6,3,45,47.0,
22,Marital Status,4,7,1,48,48.0,
23,General Educaion Level,4,8,2,49,50.0,
24,Technical Educaion Level,4,9,2,51,52.0,
25,No. of years in Formal Education,4,10,2,53,54.0,
26,Status of Current Attendance in Educational Institution,4,11,2,55,56.0,
27,Whether received any Vocational/Technical Training,4,12,1,57,57.0,
28,Whether Training completed during last 365 Days,4.1,3,1,58,58.0,
29,Field Of Training,4.1,4,2,59,60.0,
30,Duration Of Training,4.1,5,1,61,61.0,
31,Type Of Training,4.1,6,1,62,62.0,
