Srl,Full Name,Block,Item /Col.,Field Length,Field Name
1,Panel,,,2,PANEL
2,File Identification,,,5,FILE_ID
3,Schdule,1,2,3,SCH
4,Quarter,,,2,QTR
5,Visit,,,2,VISIT
6,Sector,1,3,1,SEC
7,State/Ut Code,0,1,2,ST
8,District Code,1,4,2,DC
9,NSS-Region,1,4,3,NSS_REG
10,Stratum,1,5,2,STRM
11,Sub-Stratum,1,6,2,SSTRM
12,Sub-Sample,1,11,1,SS
13,Fod Sub-Region,1,12,4,SRO
14,FSU,1,1,5,MFSU
15,Sample Sg/Sb No.,1,13,1,SEG
16,Second Stage Stratum No.,1,14,1,SSS
17,Sample Household Number,1,15,2,SSU
18,Month of Survey,1,9,2,SMONTH
19,Response Code,1,17,1,RESP_CODE
20,Survey Code,1,18,1,SVC
21,Reason for Substitution of original household,1,19,1,REA_SUB
22,Household Size,3,1,2,HH_SIZE
23,Household Type,3,2,1,HHTYPE
24,Religion,3,3,1,RELG
25,Social Group,3,4,1,SG
26,Household's usual consumer Expenditure in A Month for purposes out of Goods and Services(Rs.),3,5.1,8,HCE1
27,Imputed value of usual consumption in a month out of Home Grown stock (Rs.),3,5.2,8,HCE2
28,"Imputed value of usual consumption in a Month from wages in kind,free collection, gifts etc. (Rs.)",3,5.3,8,HCE3
29,"Household's Annual Expenditure on purchase of items like clothing, footwear etc.(Rs.)",3,5.4,8,HCE4
30,"Household's Annual Expenditure on purchase of durables like Bedstead, TV, fridge etc.(Rs.)",3,5.5,8,HCE5
31,Household'S Usual Consumer Expenditure In A Month (Rs.),3,5.6,8,HCE_TOT
32,Informant Serial no.,1,16,2,INF_SRL
33,Survey Date,2,2(i),8,SUR_DATE
34,Total Time Taken To Canvass Sch. 10.4,2,4,4,SUR_TIME
35,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,NSS
36,Ns count for sector x stratum x substratum,Generated,,3,NSC
37,Sub-sample wise Multiplier,Generated,,10,MULT
38,count of contributing samples for State x Sector x Stratum x Sub-Stratum in 4 Quarters,Generated,,1,NO_QTR
