Srl,Full Name,Block,Item /Col.,Field Length,Byte Position (Start),Byte Position (End),Field_Name,Remarks
1,File Identification,,,5,1,5,file_id,CFVH5
2,Schdule,1.0,2,3,6,8,sch,104
3,Quarter,,,2,9,10,qtr,Q1 to Q4
4,Month,,,2,11,12,month,01 to 12
5,Visit,,,2,13,14,visit,V1
6,Sector,1.0,3,1,15,15,sec,
7,State/Ut Code,0.0,1,2,16,17,st,
8,District Code,1.0,4,2,18,19,dc,
9,NSS-Region,1.0,4,3,20,22,nss_reg,
10,Basic stratum,,,4,23,26,bstrm,
11,Stratum,1.0,5,3,27,29,strm,
12,Group,,,1,30,30,grp,
13,Sub-Stratum,1.0,6,2,31,32,sstrm,
14,Fod Sub-Region,1.0,12,4,33,36,sro,
15,FSU,1.0,1,5,37,41,mfsu,
16,Second Stage Stratum No.,1.0,14,1,42,42,sss,
17,Sample Household Number,1.0,15,2,43,44,ssu,
18,Month of Survey,1.0,9,2,45,46,smonth,
19,Response Code,1.0,17,1,47,47,resp_code,
20,Survey Code,1.0,18,1,48,48,svc,
21,Reason for Substitution of original household,1.0,19,1,49,49,rea_sub,
22,Household Size,3.0,1,2,50,51,hh_size,
23,Household Type,3.0,2,1,52,52,hhtype,
24,Religion,3.0,3,1,53,53,relg,
25,Social Group,3.0,4,1,54,54,sg,
26,Household's usual consumer Expenditure in A Month for purposes out of Goods and Services(Rs.),3.0,5.1,10,55,64,hce1,
27,Imputed value of usual consumption in a month out of Home Grown stock (Rs.),3.0,5.2,10,65,74,hce2,
28,"Imputed value of usual consumption in a Month from wages in kind,free collection, gifts etc. (Rs.)",3.0,5.3,10,75,84,hce3,
29,"Household's Annual Expenditure on purchase of items like clothing, footwear etc.(Rs.)",3.0,5.4,10,85,94,hce4,
30,"Household's Annual Expenditure on purchase of durables like Bedstead, TV, fridge etc.(Rs.)",3.0,5.5,10,95,104,hce5,
31,Household'S Usual Consumer Expenditure In A Month (Rs.),3.0,5.6,10,105,114,hce_tot,
32,land possessed as on the date of survey (code),3.0,6.1,2,115,116,lposs,
33,land leased-out as on the date of survey (code),3.0,6.2,2,117,118,llease,
34,rent received from land and rental received from building usually in a month(Rs.),3.0,7.1,10,119,128,rent,
35,interest received from investment or savings usually in a month(Rs.),3.0,7.2,10,129,138,interest,
36,pension received usually in a month(Rs.),3.0,7.3,10,139,148,pension,
37,remittances usually received in a month(Rs.),3.0,7.4,10,149,158,remit,
38,Household's total income(Rs.),3.0,7.5,10,159,168,inc_tot,
39,Informant Serial no.,1.0,16,2,169,170,inf_srl,
40,Survey Date,2.0,2(i),10,171,180,sur_date,
41,Total Time Taken To Canvass Sch. 10.4,2.0,4,4,181,184,sur_time,
42,Ns count (# of FSUs surveyed) for sector x stratum x group x substratum,,,3,185,187,nsc,
43,Multiplier,,,10,188,197,mult,
44,Total Sub-Division,,,3,198,200,totalsd,
45,Stratum size,,,10,201,210,zst,
46,Number of listed households,,,4,211,214,caph,
47,Number of selected households,,,2,215,216,smallh,
48,Panel code,,,2,217,218,panel,05' generated
