Srl,Full Name,Block,Item /Col.,Field Length,Field_Name,Unnamed: 6,Unnamed: 7,Unnamed: 8,match,field_name,field_type,field_len,Unnamed: 13,Unnamed: 14,Unnamed: 15
1.0,File Identification,,,4.0,file_id,,,,,FSUID,C,10.0,,,
2.0,Schdule,1,2,3.0,sch,,,,,QTR,C,2.0,qtr,,
3.0,Quarter,,,2.0,qtr,QTR,C,2.0,1.0,MONTH,C,2.0,month,,
4.0,Month,,,2.0,month,MONTH,C,2.0,1.0,,,,,,
5.0,Visit,,,2.0,visit,VISIT,C,2.0,1.0,ST,C,2.0,st,,
6.0,Sector,1,3,1.0,sec,SEC,C,1.0,1.0,SRO,C,4.0,sro,,
7.0,State/Ut Code,,,2.0,st,ST,C,2.0,1.0,FSU,C,5.0,,,
8.0,District Code,1,4,2.0,dc,DC,C,2.0,1.0,SEC,C,1.0,sec,,
9.0,NSS-Region,1,4,3.0,nss_reg,NSS_REG,C,3.0,1.0,NSS_REG,C,3.0,nss_reg,,
10.0,Stratum,1,5,2.0,strm,,,,,VISIT,C,2.0,visit,,
11.0,Sub-Stratum,1,6,2.0,sstrm,,,,,HG_SB,C,1.0,,,
12.0,Sub-Sample,1,11,1.0,ss,,,,,SSS,C,1.0,sss,,
13.0,Fod Sub-Region,1,12,4.0,sro,SRO,C,4.0,1.0,SSU,C,2.0,ssu,,
14.0,FSU,1,1,5.0,mfsu,,,,,IDNO,C,2.0,,,
15.0,Sample Sg/Sb No.,1,13,1.0,seg,,,,,SVC,C,1.0,,,
16.0,Second Stage Stratum No.,1,14,1.0,sss,SSS,C,1.0,1.0,SRL,C,2.0,srl,,
17.0,Sample Household Number,1,15,2.0,ssu,SSU,C,2.0,1.0,NAME,C,40.0,,,
18.0,Person Serial No.,4,1,2.0,srl,SRL,C,2.0,1.0,REL,C,1.0,rel,,
19.0,Relationship To Head,4,4,1.0,rel,REL,C,1.0,1.0,SEX,C,1.0,sex,,
20.0,Sex,4,5,1.0,sex,SEX,C,1.0,1.0,AGE,C,3.0,age,,
21.0,Age,4,6,3.0,age,AGE,C,3.0,1.0,MARST,C,1.0,marst,,
22.0,Marital Status,4,7,1.0,marst,MARST,C,1.0,1.0,GEDU_LVL,C,2.0,gedu_lvl,,
23.0,General Educaion Level,4,8,2.0,gedu_lvl,GEDU_LVL,C,2.0,1.0,TEDU_LVL,C,2.0,tedu_lvl,,
