Srl,Full Name,Block,Item /Col.,Field Length,Byte Position,Unnamed: 6,Remarks
1,File Identification,,,4,1,4.0,FVH7
2,Schdule,1,2,3,5,7.0,104
3,Quarter,,,2,8,9.0,Q1 to Q4
4,Visit,,,2,10,11.0,V1' for first visit
5,Sector,1,3,1,12,12.0,
6,State/Ut Code,0,1,2,13,14.0,
7,District Code,1,4,2,15,16.0,
8,NSS-Region,1,4,3,17,19.0,
9,Stratum,1,5,2,20,21.0,
10,Sub-Stratum,1,6,2,22,23.0,
11,Sub-Sample,1,11,1,24,24.0,
12,Fod Sub-Region,1,12,4,25,28.0,
13,FSU,1,1,5,29,33.0,
14,Sample Sg/Sb No.,1,13,1,34,34.0,
15,Second Stage Stratum No.,1,14,1,35,35.0,
16,Sample Household Number,1,15,2,36,37.0,
17,Month of Survey,1,9,2,38,39.0,
18,Response Code,1,17,1,40,40.0,
19,Survey Code,1,18,1,41,41.0,
20,Reason for Substitution of original household,1,19,1,42,42.0,
21,Household Size,3,1,2,43,44.0,
22,Household Type,3,2,1,45,45.0,
23,Religion,3,3,1,46,46.0,
24,Social Group,3,4,1,47,47.0,
25,Household's usual consumer Expenditure in A Month for purposes out of Goods and Services(Rs.),3,5.1,8,48,55.0,
26,Imputed value of usual consumption in a month out of Home Grown stock (Rs.),3,5.2,8,56,63.0,
27,"Imputed value of usual consumption in a Month from wages in kind,free collection, gifts etc. (Rs.)",3,5.3,8,64,71.0,
28,"Household's Annual Expenditure on purchase of items like clothing, footwear etc.(Rs.)",3,5.4,8,72,79.0,
29,"Household's Annual Expenditure on purchase of durables like Bedstead, TV, fridge etc.(Rs.)",3,5.5,8,80,87.0,
30,Household'S Usual Consumer Expenditure In A Month (Rs.),3,5.6,8,88,95.0,
31,Informant Serial no.,1,16,2,96,97.0,
32,Survey Date,2,2(i),8,98,105.0,
33,Total Time Taken To Canvass Sch. 10.4,2,4,4,106,109.0,
34,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,110,112.0,NSS
35,Ns count for sector x stratum x substratum,Generated,,3,113,115.0,NSC
36,Sub-sample wise Multiplier,Generated,,10,116,125.0,MULT
37,Count of contributing State x Sector x Stratum x SubStratum in 4 Quarters,Generated,,1,126,126.0,No_Qtr
,,,,,,,
,,,,,,,
PLFS HOUSEHOLD LEVEL DATA OF 2023-24,,,,,,,
File: HHRV.txt (HOUSEHOLD LEVEL-REVISIT)         RECORD LENTH:86+1,,,,,,,
Srl,Full Name,Block,Item /Col.,Field Length,Byte Position,,Remarks
1,File Identification,,,4,1,4.0,RVH7
2,Schdule,1,2,3,5,7.0,104
3,Quarter,,,2,8,9.0,Q1 to Q4
4,Visit,,,2,10,11.0,"V2' for second visit,' V3' for third visit & 'V4' for fourth visit"
5,Sector,1,3,1,12,12.0,
6,State/Ut Code,0,1,2,13,14.0,
7,District Code,1,4,2,15,16.0,
8,NSS-Region,1,4,3,17,19.0,
9,Stratum,1,5,2,20,21.0,
10,Sub-Stratum,1,6,2,22,23.0,
11,Sub-Sample,1,11,1,24,24.0,
12,Fod Sub-Region,1,12,4,25,28.0,
13,FSU,1,1,5,29,33.0,
14,Sample Sg/Sb No.,1,13,1,34,34.0,
15,Second Stage Stratum No.,1,14,1,35,35.0,
16,Sample Household Number,1,15,2,36,37.0,
17,Month of Survey,1,9,2,38,39.0,
18,Response Code,1,17,1,40,40.0,
19,Survey Code,1,18,1,41,41.0,
20,Reason for Substitution of original household,1,19,1,42,42.0,
21,Household Size,3,1,2,43,44.0,
22,Household Type,3,2,1,45,45.0,
23,Religion,3,3,1,46,46.0,
24,Social Group,3,4,1,47,47.0,
25,Household'S Usual Consumer Expenditure In A Month (Rs.),3,5,8,48,55.0,
26,Informant Serial no.,1,16,2,56,57.0,
27,Survey Date,2,2(i),8,58,65.0,
28,Total Time Taken To Canvass Sch. 10.4,2,4,4,66,69.0,
29,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,70,72.0,NSS
30,Ns count for sector x stratum x substratum,Generated,,3,73,75.0,NSC
31,Sub-sample wise Multiplier,Generated,,10,76,85.0,MULT
32,Count of contributing State x Sector x Stratum x SubStratum in 4 Quarters,Generated,,1,86,86.0,No_Qtr
,,,,,,,
,,,,,,,
PLFS PERSON LEVEL DATA (FIRST VISIT) OF 2023-2024,,,,,,,
 File: PERV1.txt (PERSON LEVEL)             RECORD LENGTH: 330+1,,,,,,,
Srl,Full Name,Block,Item /Col.,Field Length,Byte Position,,Remarks
1,File Identification,,,4,1,4.0,FVP7
2,Schdule,1,2,3,5,7.0,104
3,Quarter,,,2,8,9.0,Q1 to Q4
4,Visit,,,2,10,11.0,V1' for first visit
5,Sector,1,3,1,12,12.0,
6,State/Ut Code,,,2,13,14.0,
7,District Code,1,4,2,15,16.0,
8,NSS-Region,1,4,3,17,19.0,
9,Stratum,1,5,2,20,21.0,
10,Sub-Stratum,1,6,2,22,23.0,
11,Sub-Sample,1,11,1,24,24.0,
12,Fod Sub-Region,1,12,4,25,28.0,
13,FSU,1,1,5,29,33.0,
14,Sample Sg/Sb No.,1,13,1,34,34.0,
15,Second Stage Stratum No.,1,14,1,35,35.0,
16,Sample Household Number,1,15,2,36,37.0,
17,Person Serial No.,4,1,2,38,39.0,
18,Relationship To Head,4,4,1,40,40.0,
19,Gender,4,5,1,41,41.0,
20,Age,4,6,3,42,44.0,
21,Marital Status,4,7,1,45,45.0,
22,General Educaion Level,4,8,2,46,47.0,
23,Technical Educaion Level,4,9,2,48,49.0,
24,No. of years in Formal Education,4,10,2,50,51.0,
25,Status of Current Attendance in Educational Institution,4,11,2,52,53.0,
26,Whether received any Vocational/Technical Training,4,12,1,54,54.0,
27,Whether Training completed during last 365 Days,4.1,3,1,55,55.0,
28,Field Of Training,4.1,4,2,56,57.0,
29,Duration Of Training,4.1,5,1,58,58.0,
30,Type Of Training,4.1,6,1,59,59.0,
31,Source Of Funding The Training,4.1,7,1,60,60.0,
32,Status Code,5.1,3,2,61,62.0,
33,Industry Code (NIC),5.1,5,5,63,67.0,
34,Occupation Code (NCO),5.1,6,3,68,70.0,
35,Whether Engaged In Any Work In Subsidiary Capacity,5.1,7,1,71,71.0,
36,(Principal)location Of Workplace Code,5.1,8,2,72,73.0,
37,(Principal) Enterprise Type Code,5.1,9,2,74,75.0,
38,(Principal) No. Of Workers In The Enterprise,5.1,10,1,76,76.0,
39,(Principal)  Type Of Job Contract,5.1,11,1,77,77.0,
40,(Principal) Eligble Of Paid Leave,5.1,12,1,78,78.0,
41,(Principal) Social Security Benefits,5.1,13,1,79,79.0,
42,(Principal) Usage of product of the economic activity,5.1,14,1,80,80.0,
43,Status Code,5.2,3,2,81,82.0,
44,Industry Code (NIC),5.2,5,5,83,87.0,
45,Occupation Code (NCO),5.2,6,3,88,90.0,
46,(Subsidiary) location Of Workplace Code,5.2,7,2,91,92.0,
47,(Subsidiary)  Enterprise Type Code,5.2,8,2,93,94.0,
48,(Subsidiary)  No. Of Workers In The Enterprise,5.2,9,1,95,95.0,
49,(Subsidiary)   Type Of Job Contract,5.2,10,1,96,96.0,
50,(Subsidiary)  Eligble Of Paid Leave,5.2,11,1,97,97.0,
51,(Subsidiary)  Social Security Benefits,5.2,12,1,98,98.0,
52,(Subsidiary) Usage of product of the economic activity,5.2,13,1,99,99.0,
53,Ever Worked Prior to last 365 days,5.3,5,1,100,100.0,
54,Duration of engagement in the economic activity in usual Principal Activity Status,5.3,6,1,101,101.0,
