Srl,Full Name,Block,Item /Col.,Field Length,Field_Name
1,File Identification,,,4,file_id
2,Schdule,1,2,3,sch
3,Quarter,,,2,qtr
4,Visit,,,2,visit
5,Sector,1,3,1,sec
6,State/Ut Code,0,1,2,st
7,District Code,1,4,2,dc
8,NSS-Region,1,4,3,nss_reg
9,Stratum,1,5,2,strm
10,Sub-Stratum,1,6,2,sstrm
11,Sub-Sample,1,11,1,ss
12,Fod Sub-Region,1,12,4,sro
13,FSU,1,1,5,mfsu
14,Sample Sg/Sb No.,1,13,1,seg
15,Second Stage Stratum No.,1,14,1,sss
16,Sample Household Number,1,15,2,ssu
17,Month of Survey,1,9,2,smonth
18,Response Code,1,17,1,resp_code
19,Survey Code,1,18,1,svc
20,Reason for Substitution of original household,1,19,1,rea_sub
21,Household Size,3,1,2,hh_size
22,Household Type,3,2,1,hhtype
23,Religion,3,3,1,relg
24,Social Group,3,4,1,sg
25,Household's usual consumer Expenditure in A Month for purposes out of Goods and Services(Rs.),3,5.1,8,hce1
26,Imputed value of usual consumption in a month out of Home Grown stock (Rs.),3,5.2,8,hce2
27,"Imputed value of usual consumption in a Month from wages in kind,free collection, gifts etc. (Rs.)",3,5.3,8,hce3
28,"Household's Annual Expenditure on purchase of items like clothing, footwear etc.(Rs.)",3,5.4,8,hce4
29,"Household's Annual Expenditure on purchase of durables like Bedstead, TV, fridge etc.(Rs.)",3,5.5,8,hce5
30,Household'S Usual Consumer Expenditure In A Month (Rs.),3,5.6,8,hce_tot
31,Informant Serial no.,1,16,2,inf_srl
32,Survey Date,2,2(i),8,sur_date
33,Total Time Taken To Canvass Sch. 10.4,2,4,4,sur_time
34,Ns count for sector x stratum x substratum x sub-sample,Generated,,3,nss
35,Ns count for sector x stratum x substratum,Generated,,3,nsc
36,Sub-sample wise Multiplier,Generated,,10,mult
37,Occurence of State x Sector x Stratum x SubStratum in 4 Quarters,Generated,,1,no_qtr
